year,round,team_x,team_y,diff_seed,diff_bpi,diff_qual_win,diff_qual_loss,diff_qual_win_perc,diff_schdl_strength,diff_dist,location,team_x_win,team
2021,16,Arkansas,Oral Roberts,-12,12.1,7,2,0.27,-98,-81.74929548,"Indianapolis, IN",TRUE,Arkansas
2021,16,Loyola (IL),Oregon State,-4,5.7,-6,-7,0.17,82,-1751.407777,"Indianapolis, IN",FALSE,Oregon State
2021,16,Syracuse,Houston,9,-7.4,3,7,-0.33,-58,-301.4546576,"Indianapolis, IN",FALSE,Houston
2021,8,Gonzaga,USC,-5,7,4,-5,0.38,24,-172.3115656,"Indianapolis, IN",TRUE,Gonzaga
2021,8,Michigan,UCLA,-10,6,7,-4,0.35,-13,-1601.676319,"Indianapolis, IN",FALSE,UCLA
2021,8,Baylor,Arkansas,-2,7.2,5,-5,0.32,20,333.3972724,"Indianapolis, IN",TRUE,Baylor
2021,8,Oregon State,Houston,10,-10.8,3,7,-0.33,-53,1048.317626,"Indianapolis, IN",FALSE,Houston
2021,4,Gonzaga,UCLA,-10,9.9,5,-6,0.46,44,-172.3115656,"Indianapolis, IN",TRUE,Gonzaga
2021,4,Baylor,Houston,-1,2.4,9,1,0.05,-56,-26.5949731,"Indianapolis, IN",TRUE,Baylor
2021,2,Gonzaga,Baylor,0,0.6,-3,-1,0.04,29,802.9901922,"Indianapolis, IN",FALSE,Baylor
2019,64,Duke,North Dakota State,-15,22.8,16,3,0.73,-159,-1040.252067,"Columbia, SC",TRUE,Duke
2019,64,VCU,UCF,-1,-0.5,-2,-1,-0.17,27,-76.76561041,"Columbia, SC",FALSE,UCF
2019,64,Mississippi State,Liberty,-7,5.4,3,4,-0.1,-174,-453.6082817,"San Jose, CA",FALSE,Liberty
2019,64,Virginia Tech,Saint Louis,-9,12,4,5,0.31,-58,544.0651279,"San Jose, CA",TRUE,Virginia Tech
2019,64,Maryland,Belmont,-5,2.6,7,6,0.03,-123,156.6216285,"Jacksonville, FL",TRUE,Maryland
2019,64,LSU,Yale,-11,6.3,7,3,0.58,-113,-338.9491333,"Jacksonville, FL",TRUE,LSU
2019,64,Louisville,Minnesota,-3,5.3,-3,0,-0.1,-3,248.4425019,"Des Moines, IA",FALSE,Minnesota
2019,64,Michigan State,Bradley,-13,20.2,18,5,0.26,-225,259.1136689,"Des Moines, IA",TRUE,Michigan State
2019,64,Gonzaga,Fairleigh Dickinson,-15,24.6,6,3,0.6,-244,-1418.208237,"Salt Lake City, UT",TRUE,Gonzaga
2019,64,Syracuse,Baylor,-1,0.2,-5,2,-0.23,6,796.0702767,"Salt Lake City, UT",FALSE,Baylor
2019,64,Marquette,Murray State,-7,2.5,4,2,0.15,-134,-124.6208124,"Hartford, CT",FALSE,Murray State
